"Transactional emails","E-mails de transações"
"Files location","Localização dos arquivos"
"In <strong>var</strong> folder.","Na pasta <strong>var</strong>."
"File format","Formato do ficheiro"
"Examples: <b>txt</b> / <b>csv;2</b> / <b>csv,3</b> / <b>csv,3""</b>...<br />The file must be in <b>utf-8</b> (with or without BOM).<br />Use <b>→</b> for the tabulation. Whatever the format is, the module looks for an email address (the rest is ignored).","Exemplos: <b>txt</b> / <b>csv;2</b> / <b>csv,3</b> / <b>csv,3""</b>...<br />O arquivo deve estar em <b>utf-8</b> (com ou sem BOM).<br />Utilisar <b>→</b> para a tabulação."
"Cron expression","Expressão cron"
"By default, everyday at 2:30 AM (<strong>30 2 * * *</strong>).<br />Maximum once per day.","Por defeito, todos os dias às 2h30 (<strong>30 2 * * *</strong>).<br />No máximo uma vez por dia."
"Validate email addresses not present in the file","Validar os endereços e-mail não presentes no arquivo"
"If yes, <strong>all</strong> Magento customers not present in the file will be marked as having a valid email address.","Se sim, <strong>todos</strong> os clientes Magento não presentes no arquivo serão marcados comme tendo um endereço e-mail válido."
"Number of customers","Número de clientes"
"Number of invalid emails","Número de e-mails inválido"
"Last file processed","Último arquivo processado"
"Unsubscribers emails import","Importação dos e-mails desinscritos"
"<p>This import allows to import unsubscribed emails from your <strong>System</strong> to <strong>Magento</strong>.<br />It is carried out punctually by cron job (maximum once per day) thanks to the newest file in the specified folder below.</p>","<p>Esta importação permite importar os e-mails desinscritos desde o seu <strong>Sistema</strong> para <strong>Magento</strong>.<br />É efetuada pontualmente por tarefa cron (no máximo uma vez por dia) graças ao arquivo mais recente contido na pasta definida abaixo.</p>"
"Subscribe customers not present in the file","Assinar os clientes não presentes no arquivo"
"If yes, <strong>all</strong> Magento customers not present in the file will be subscribed to the newsletter.","Se sim, <strong>todos</strong> os clientes Magento não presentes no arquivo serão inscritos no boletim informativo."
"Number of subscribers","Número de assinantes"
"Transactional emails / Tools / Magento Admin","E-mails de transações / Ferramentas / Admin do Magento"
"Customers synchronization / Tools / Magento Admin","Sincronização de clientes / Ferramentas / Admin do Magento"
"Recipient(s)","Destinatário(s)"
"Sent At","Enviado a"
"Duration","Duração"
"Open/read","Aberto/lido"
"Unsent","Não enviado"
"Blocked","Bloqueado"
" Error","Erro"
"Email number %d - %s","E-mail número %d - %s"
"Resend email","Reenviar o e-mail"
"Created At: %s","Criado a: %s"
"Sent At: %s","Enviado a: %s"
"Duration: %s","Duração: %s"
"Status: <span %s>%s</span>","Estado: <span %s>%s</span>"
"Approximate size: %s","Medida aproximada: %s"
"Sender: %s","Remetente: %s"
"Recipient(s): %s","Destinatário(s): %s"
"Synchronized At","Sincronizado a"
"Running","Em andamento"
"%s kB","%s kB"
"%s MB","%s MB"
"%s GB","%s GB"
"Customer data will be synchronized (%s).","Todos os dados do cliente vão ser sincronizados (%s)."
"Manual import: %s.","Importação manual: %s."
"Cron job #<a %s>%d</a> finished at %s (%s).","Tarefa cron n°<a %s>%d</a> completada a %s (%s)"
"An import is in progress (cron job #<a %s>%d</a>).","An import is in progress (tarefa cron n°<a %s>%d</a>)."
"last process: cron job #<a %s>%d</a> finished at %s","last process: tarefa cron n°<a %s>%d</a> completada a %s"
"Subject: %s","Tema: %s"
"<a %s>Print</a> this email only if necessary.","<a %s>Imprima</a> este e-mail unicamente se for necessário."
"Sorry, your email is too old, it is not available online anymore.","Desculpe, o seu e-mail é muito antigo, por isso já não está disponível online."
"Email %d: %s","E-mail %d: %s"
"Status: %s","Estado: %s"
"Week %d","Semana %d"
"Can not send the report by email to %s.","Impossível enviar o relatório por e-mail a %s."
" monthly","mensal"
" weekly","semanal"
" daily","diário"
"Yes - forced by admin","Sim - forçado pelo administrador"
"No - forced by admin","Não - forçado pelo administrador"
"No - forced by customer","Não - forçado pelo cliente"
"%d days","%d dias"
"%d days (%d weeks)","%d dias (%d semanas)"
"%d days (%d month)","%d dias (%d mês)"
"%d days (%d months)","%d dias (%d meses)"
"not available","não está disponível"
"Yes with PHP-TIDY (%s)","Sim com PHP-TIDY (%s)"
"The <em>%s</em> field is a required field.","O campo <em>%s</em> é um campo obrigatório."
"Email number %d has been successfully deleted.","O e-mail número %d foi bem suprimido."
"Email number %d will be resent.","O e-mail número %d foi bem reenviado."
"Invalid email (hard bounce)","E-mail inválido (hard bounce)"
"Transactional emails - %s","E-mails de transação - %s"
"Email address is invalid.","O endereço de e-mail é inválido."
"Email address is valid.","O endereço de e-mail é válido."
"%d email(s), %d send, %d open/read.","%d e-mail(s), %d enviado(s), %d aberto(s)/lido(s)."
"Customer is subscribed to the newsletter.","O cliente assinou ao boletim informativo."
"Customer Id field","Campo id cliente"
"In case of a change of email address, the customer identification in the system will be done with the customer id.","Em caso de mudança de endereço de e-mail, a identificação do cliente no sistema será efetuada com a id do cliente."
"read only","somente leitura"
"<b>without</b>","<b>sem</b>"
"<b>all</b>","<b>todos</b>"
"%d months","%d meses"
"%d years","%d anos"
"Background color","Cor de fundo"
"Text color","Cor do texto"
