"Transactional emails","Courriels transactionnels"
"If yes, <strong>all</strong> customers not present in the file will be subscribed to the newsletter.","Si oui, <strong>tous</strong> les clients non présents dans le fichier seront inscrits à l'infolettre."
"Number of subscribers","Nombre d'abonnés"
"They are extraordinary new directives:","Il y a de nouvelles directives extraordinaires :"
"Picture directive","Directive picture"
"Show image dimensions","Afficher les dimensions des images"
"Create also webp images","Créer aussi des images webp"
"In addition to jpg/gif/png images, works with: Firefox 65+, Chrome 32+, Opera 19+, Edge 18+, Safari 14+.","En plus des images jpg/gif/png, fonctionne avec : Firefox 65+, Chrome 32+, Opera 19+, Edge 18+, Safari 14+."
"Add width and height attributes on img and source tags","Ajouter les attributs width et height sur les balises img et source"
"On <b>source</b> tag, works with: Firefox 108+, Chrome 90+, Opera 76+, Edge 90+, Safari 15+.","Sur la balise <b>source</b>, fonctionne avec : Firefox 108+, Chrome 90+, Opera 76+, Edge 90+, Safari 15+."
"Confirmation request email","Courriel de demande de confirmation"
"Subscription confirmation email","Courriel de confirmation d'abonnement"
"Unsubscription confirmation email","Courriel de confirmation de désabonnement"
"INCOMPLETE MODULE INSTALLATION","INSTALLATION INCOMPLÈTE DU MODULE"
"Changes in <em>%s</em> are not present. Please read the documentation.","Les changements dans <em>%s</em> ne sont pas présents. Veuillez lire la documentation."
"There is conflict (<em>%s</em>).","Il y a un conflit (<em lang=""en"">%s</em>)."
"Recipient(s)","Destinataire(s)"
"Sent At","Envoyé le"
"Duration","Durée"
"Open/read","Ouvert/lu"
" Error","En erreur"
"Unsent","Non envoyé"
"Blocked","Bloqué"
"Warning! Full-text search (one or more words, words length: %d to %d). Complete words only (for example, you can search domain or domain.org and not domai). Separate words by a space.","Attention ! Recherche en texte intégral [full-text] (un ou plusieurs mots, longueur des mots : %d à %d). Mots complets uniquement (par exemple, vous pouvez rechercher domaine ou domaine.org et non domai). Séparer les mots par un espace."
"Email number %d - %s","Courriel numéro %d - %s"
"Resend email","Renvoyer le courriel"
"Created At: %s","Créé le : %s"
"Sent At: %s","Envoyé le : %s"
"Duration: %s","Durée : %s"
"Status: <span %s>%s</span>","Statut : <span %s>%s</span>"
"Approximate size: %s","Taille approximative : %s"
"Sender: %s","Expéditeur : %s"
"Recipient(s): %s","Destinataire(s) : %s"
"Action / Request / Response","Action / Requête / Réponse"
"Synchronized At","Synchronisé le"
"Running","En cours"
" Success","Terminée"
"Search for one or more words in action or request or response. Separate words by a space.","Recherche un ou plusieurs mots dans action (action) ou demande (request) ou réponse (response). Séparer les mots par un espace."
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
"Customer data will be synchronized (%s).","Les données du client vont être synchronisées (%s)."
"Manual import: %s.","Import manuel : %s."
"Cron job #<a %s>%d</a> finished at %s.","Tâche cron n°<a %s>%d</a> terminée le %s."
"An import is in progress (cron job #<a %s>%d</a>).","Un import est en cours (tâche cron n°<a %s>%d</a>)."
" monthly","mensuel"
" weekly","hebdomadaire"
" daily","quotidien"
"Email %d: %s","Courriel %d : %s"
"Status: %s","Statut : %s"
"Week %d","Semaine %d"
"Can not send the report by email to %s.","Impossible d'envoyer le rapport par courriel à %s."
"Yes - forced by admin","Oui - forcé par l'administrateur"
"No - forced by admin","Non - forcé par l'administrateur"
"No - forced by customer","Non - forcé par le client"
"%d days","%d jours"
" %d days (%d weeks)","%d jours (%d semaines)"
"%d days (%d weeks)","%d jours (%d semaines)"
"%d days (%d month)","%d jours (%d mois)"
" %d days (%d months)","%d jours (%d mois)"
"%d days (%d months)","%d jours (%d mois)"
"not available","non disponible"
"Yes with PHP-TIDY (%s)","Oui avec PHP-TIDY (%s)"
"Yes but remove only white spaces","Oui mais supprimer uniquement les blancs"
"The <em>%s</em> field is a required field.","Le champ <em>%s</em> est un champ obligatoire."
"Email number %d has been successfully deleted.","Le courriel numéro %d a bien été supprimé."
"Email number %d will be resent.","Le courriel numéro %d va être renvoyé."
"Invalid email (hard bounce)","Courriel invalide (hard bounce)"
"Transactional emails - %s","Courriels transactionnels - %s"
"Email address is invalid.","L'adresse de courriel est invalide."
"Email address is valid.","L'adresse de courriel est valide."
"%d email(s), %d send, %d open/read.","%d courriel(s), %d envoyé(s), %d ouvert(s)/lu(s)."
"Customer is subscribed to the newsletter.","Le client est abonné à l'infolettre."
"Emails content and attachments","Contenu et pièces jointes des courriels"
"All emails data","Toutes les données des courriels"
"Background color","Couleur d'arrière plan"
"Text color","Couleur du texte"
"<b>without</b>","<b>sans</b>"
"<b>all</b>","<b>tous</b>"
"%d month","%d mois"
" %d months","%d mois"
"%d months","%d mois"
" %d years","%d années"
"%d years","%d années"
"Breakpoint / Size (<em>width</em> x <em>height</em>) / Ratio","<span lang=""en"">Breakpoint</span> / Taille (<em>largeur</em> x <em>hauteur</em>) / Ratio"
"Paste (if code already exist, data will be updated)","Coller (si le code existe déjà, les données seront mises à jour)"
"Copy","Copier"
"Subject: %s","Sujet : %s"
"<a %s>Print</a> this email only if necessary.","<a %s>Imprimez</a> ce courriel uniquement si cela est nécessaire."
"Sorry, your email is too old, it is not available online anymore.","Désolé, votre courriel est trop ancien, il n'est donc plus disponible en ligne."
