"Transactional emails","Transaktions-E-Mails"
"<a %s>Print</a> this email only if necessary.","Nur bei Bedarf diese Nachricht <a %s>ausdrucken</a>."
"Sorry, your email is too old, it is not available online anymore.","Entschuldigung, Ihre E-Mail ist zu alt, so ist sie nicht mehr online verfügbar."
"Email %d: %s","E-Mail %d: %s"
"Status: %s","Zustand: %s"
"Can not send the report by email to %s.","Unmöglich den Bericht per E-Mail zu senden bei %s."
" monthly","monatlich"
" weekly","wöchentlich"
" daily","täglich"
"Yes - forced by admin","Ja - Vom Administrator gezwungen"
"No - forced by admin","Nein - durch den Administrator gezwungen"
"No - forced by customer","Nein - durch die Kunden gezwungen"
"%d days","%d Tage"
"%d days (%d weeks)","%d Tage (%d Wochen)"
"%d days (%d month)","%d Tage (%d Monat)"
"%d days (%d months)","%d Tage (%d Monate)"
"not available","nicht verfügbar"
"With PHP-TIDY (%s)","Mit PHP-TIDY (%s)"
"All customer data WILL BE synchronized with %s (%s).","Alle Kundendaten WERDEN mit %s synchronisiert werden (%s)."
"The <em>%s</em> field is a required field.","Das Feld <em>%s</em> ist ein obligatorisches Feld."
"Email number %d has been successfully deleted.","Die E-Mail Nummer %d wurde gelöscht."
"Email number %d will be resent (warning, dates are not updated).","Die E-Mail Nummer %d wurde zurückgegeben (beachten Sie, dass die Daten nicht aktualisiert)."
"Invalid email (hard bounce)","Ungültiges E-Mail (hard bounce)"
"Transactional emails - %s","Transaktions-E-Mails - %s"
"Email address is invalid!","Die E-Mail-Adresse ist ungültig!"
"Email address is valid.","Die E-Mail-Adresse ist gültig."
"%d email(s), %d send, %d open/read.","%d E-Mail(s), %d gesendet, %d geöffnet/gelesen."
"Customer is subscribed to the newsletter.","Der Kunde hat den Newsletter abonniert."
"<b>without</b>","<b>ohne</b>"
"<b>all</b>","<b>alle</b>"
"%d months","%d Monate"
"%d years","%d Jahren"
