"Transactional emails","Courriels transactionnels"
"Confirmation request email","Courriel de demande de confirmation"
"Subscription confirmation email","Courriel de confirmation d'abonnement"
"Unsubscription confirmation email","Courriel de confirmation de désabonnement"
"Transactional emails / Tools / Magento Admin","Courriels transactionnels / Outils / Admin Magento"
"Customers synchronization / Tools / Magento Admin","Synchronisation des clients / Outils / Admin Magento"
"INCOMPLETE MODULE INSTALLATION","INSTALLATION INCOMPLÈTE DU MODULE"
"Changes in <em>%s</em> are not present. Please read the documentation.","Les changements dans <em>%s</em> ne sont pas présents. Veuillez lire la documentation."
"There is conflict (<em>%s</em>).","Il y a un conflit (<em lang=""en"">%s</em>)."
"Recipient(s)","Destinataire(s)"
"Sent At","Envoyé le"
"Duration","Durée"
"Open/read","Ouvert/lu"
"Unsent","Non envoyé"
"Blocked","Bloqué"
" Error","En erreur"
"Email number %d - %s","Courriel numéro %d - %s"
"Resend email","Renvoyer le courriel"
"Created At: %s","Créé le : %s"
"Sent At: %s","Envoyé le : %s"
"Duration: %s","Durée : %s"
"Status: <span %s>%s</span>","Statut : <span %s>%s</span>"
"Approximate size: %s","Taille approximative : %s"
"Sender: %s","Expéditeur : %s"
"Recipient(s): %s","Destinataire(s) : %s"
"Synchronize all customers","Synchroniser tous les clients"
"Be careful, all customers will be synchronized.","Attention, tous les clients seront synchronisés."
"Action / Request / Response *","Action / Requête / Réponse *"
"Synchronized At","Synchronisé le"
"Running","En cours"
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
"Customer data will be synchronized (%s).","Les données du client vont être synchronisées (%s)."
"Manual import: %s.","Import manuel : %s."
"Cron job #<a %s>%d</a> finished at %s.","Tâche cron n°<a %s>%d</a> terminée le %s."
"An import is in progress (cron job #<a %s>%d</a>).","Un import est en cours (tâche cron n°<a %s>%d</a>)."
"last process: cron job #<a %s>%d</a> finished at %s","dernier traitement : tâche cron n°<a %s>%d</a> terminée le %s"
"last process: not yet finished or short <a %s>cron jobs history</a>","dernier traitement : pas encore terminé ou <a %s>historique des tâches cron</a> court"
"Subject: %s","Sujet : %s"
"<a %s>Print</a> this email only if necessary.","<a %s>Imprimez</a> ce courriel uniquement si cela est nécessaire."
"Sorry, your email is too old, it is not available online anymore.","Désolé, votre courriel est trop ancien, il n'est donc plus disponible en ligne."
"Email %d: %s","Courriel %d : %s"
"Status: %s","Statut : %s"
"Week %d","Semaine %d"
"Can not send the report by email to %s.","Impossible d'envoyer le rapport par courriel à %s."
" monthly","mensuel"
" weekly","hebdomadaire"
" daily","quotidien"
"Yes - forced by admin","Oui - forcé par l'administrateur"
"No - forced by admin","Non - forcé par l'administrateur"
"No - forced by customer","Non - forcé par le client"
"%d days","%d jours"
"%d days (%d weeks)","%d jours (%d semaines)"
"%d days (%d month)","%d jours (%d mois)"
"%d days (%d months)","%d jours (%d mois)"
"not available","non disponible"
"Yes with PHP-TIDY (%s)","Oui avec PHP-TIDY (%s)"
"The <em>%s</em> field is a required field.","Le champ <em>%s</em> est un champ obligatoire."
"Email number %d has been successfully deleted.","Le courriel numéro %d a bien été supprimé."
"Email number %d will be resent.","Le courriel numéro %d va être renvoyé."
"All customers data synchronization is in progress.","La synchronisation des données de tous les clients est en cours."
"Last full synchronization (key %s) finished at %s, %d%% success.","Dernière synchronisation complète (clef %s) terminée le %s, %d%% de succès."
"Invalid email (hard bounce)","Courriel invalide (hard bounce)"
"Transactional emails - %s","Courriels transactionnels - %s"
"Email address is invalid.","L'adresse de courriel est invalide."
"Email address is valid.","L'adresse de courriel est valide."
"%d email(s), %d send, %d open/read.","%d courriel(s), %d envoyé(s), %d ouvert(s)/lu(s)."
"Customer is subscribed to the newsletter.","Le client est abonné à l'infolettre."
"<b>without</b>","<b>sans</b>"
"<b>all</b>","<b>tous</b>"
"Emails content and attachments","Contenu et pièces jointes des courriels"
"%d months","%d mois"
"%d years","%d années"
"All emails data","Toutes les données des courriels"
"Background color","Couleur d'arrière plan"
"Text color","Couleur du texte"
"Breakpoint / Size (width x height)","<span lang=""en"">Breakpoint</span> / Taille (largeur x hauteur)"
