"Transactional emails","E-mails de transações"
"<p>This import allows to import unsubscribed emails from your <strong>System</strong> to <strong>OpenMage</strong>.<br />It is carried out punctually by cron job thanks to the newest file in the specified folder below.<br />Whatever the file format is, the module looks for an email address (the rest is ignored).</p>","<p>Esta importação permite importar os e-mails desinscritos desde o seu <strong>Sistema</strong> para <strong>OpenMage</strong>.<br />É efetuada pontualmente por tarefa cron graças ao arquivo mais recente contido na pasta definida abaixo.</p>"
"Subscribe customers not present in the file","Assinar os clientes não presentes no arquivo"
"If yes, <strong>all</strong> customers not present in the file will be subscribed to the newsletter.","Se sim, <strong>todos</strong> os clientes não presentes no arquivo serão inscritos no boletim informativo."
"Number of subscribers","Número de assinantes"
"They are extraordinary new directives:","Há novas instruções extraordinárias:"
"Picture directive","Instruçao picture"
"Show image dimensions","Afixar as dimensões das imagens"
"Use events","Usar os eventos"
"Confirmation request email","E-mail de pedido de confirmaçao"
"Subscription confirmation email","E-mail de confirmação de subscrição"
"Unsubscription confirmation email","E-mail de confirmação de desinscrição"
"INCOMPLETE MODULE INSTALLATION","INSTALACAO INCOMPLETA DO MODULO"
"Changes in <em>%s</em> are not present. Please read the documentation.","As mudanças em <em>%s</em> nao estao presentes. Ler a documentaçao."
"There is conflict (<em>%s</em>).","Há um conflicto (<em lang=""en"">%s</em>)."
"Recipient(s)","Destinatário(s)"
"Sent At","Enviado a"
"Duration","Duração"
"Open/read","Aberto/lido"
" Error","Erro"
"Unsent","Não enviado"
"Blocked","Bloqueado"
"Email number %d - %s","E-mail número %d - %s"
"Resend email","Reenviar o e-mail"
"Created At: %s","Criado a: %s"
"Sent At: %s","Enviado a: %s"
"Duration: %s","Duração: %s"
"Status: <span %s>%s</span>","Estado: <span %s>%s</span>"
"Approximate size: %s","Medida aproximada: %s"
"Sender: %s","Remetente: %s"
"Recipient(s): %s","Destinatário(s): %s"
"Synchronize all customers","Sincronizar todos os clientes"
"Be careful, all customers will be synchronized.","Cuidado, todos os clientes estarao sincronizados."
"Action / Request / Response *","Acçao / Consulta / Resposta *"
"Synchronized At","Sincronizado a"
"Running","Em andamento"
" Success","Completada"
"Customer data will be synchronized (%s).","Os dados do cliente vão ser sincronizados (%s)."
"Manual import: %s.","Importação manual: %s."
"Cron job #<a %s>%d</a> finished at %s.","Tarefa cron n°<a %s>%d</a> completada a %s."
"An import is in progress (cron job #<a %s>%d</a>).","Um importe esta em andamento (tarefa cron n°<a %s>%d</a>)."
"not yet finished or short <a %s>cron jobs history</a>","que sempre não está completado o <a %s>histórico das tarefas cron</a> corto."
"last process: %s","último tratamento: %s"
" monthly","mensal"
" weekly","semanal"
" daily","diário"
"Email %d: %s","E-mail %d: %s"
"Status: %s","Estado: %s"
"Week %d","Semana %d"
"Can not send the report by email to %s.","Impossível enviar o relatório por e-mail a %s."
"Yes - forced by admin","Sim - forçado pelo administrador"
"No - forced by admin","Não - forçado pelo administrador"
"No - forced by customer","Não - forçado pelo cliente"
"%d days","%d dias"
" %d days (%d weeks)","%d dias (%d semanas)"
"%d days (%d weeks)","%d dias (%d semanas)"
"%d days (%d month)","%d dias (%d mês)"
" %d days (%d months)","%d dias (%d meses)"
"%d days (%d months)","%d dias (%d meses)"
"not available","não está disponível"
"Yes with PHP-TIDY (%s)","Sim com PHP-TIDY (%s)"
"The <em>%s</em> field is a required field.","O campo <em>%s</em> é um campo obrigatório."
"Email number %d has been successfully deleted.","O e-mail número %d foi bem suprimido."
"Email number %d will be resent.","O e-mail número %d vai a ser devolvido."
"All customers data synchronization is in progress.","A sincronização dos dados de todos os clientes está em andamento."
"Last full synchronization (key %s) finished at %s, %d%% success.","Última sincronização completa (chave %s) completada o %s, %d%% de successo."
"Invalid email (hard bounce)","E-mail inválido (hard bounce)"
"Transactional emails - %s","E-mails de transações - %s"
"Email address is invalid.","O endereço de e-mail é inválido."
"Email address is valid.","O endereço de e-mail é válido."
"%d email(s), %d send, %d open/read.","%d e-mail(s), %d enviado(s), %d aberto(s)/lido(s)."
"Customer is subscribed to the newsletter.","O cliente assinou ao boletim informativo."
"Emails content and attachments","Conteúdo e arquivos dos e-mails"
"All emails data","Todos os dados dos e-mails"
"Background color","Cor de Fundo"
"Text color","Cor do Texto"
"<b>without</b>","<b>sem</b>"
"<b>all</b>","<b>todos</b>"
" %d months","%d meses"
"%d months","%d meses"
" %d years","%d anos"
"%d years","%d anos"
"Breakpoint / Size (<em>width</em> x <em>height</em>) / Ratio","<span lang=""en"">Breakpoint</span> / Medida (<em>largura</em> x <em>altura</em>) / Ratio"
"Subject: %s","Tema: %s"
"<a %s>Print</a> this email only if necessary.","<a %s>Imprima</a> este e-mail unicamente se for necessário."
"Sorry, your email is too old, it is not available online anymore.","Desculpe, o seu e-mail é muito antigo, por isso já não está disponível online."
